"ucas","name","application","offer"
"10006","Ysgol Gyfun Llangefni                                                    Min. Number of Records","<3","<3"
"10008","Redborne Upper School and Community","7","<3"
"10011","Bedford Modern School","6","<3"
"10012","Bedford School","12","<3"
"10022","Queensbury Academy","4","<3"
"10023","Stoke College, Sudbury                                                   Redacted Acceptance Ra..","<3","<3"
"10024","Cedars Upper School, Bedfordshire","<3","<3"
"10026","St Marylebone Church of England","<3","<3"
"10027","Luton VI Form College","17","5"
"10029","Abingdon School","32","10"
"10030","John Mason School, Abingdon","6","<3"
"10031","Our Lady's Abingdon Trustees Ltd","<3","<3"
"10032","Radley College","41","12"
"10033","St Helen & St Katharine","14","5"
"10034","Heathfield School, Berkshire","3","<3"
"10036","The Marist School","<3","<3"
"10038","St Georges School, Ascot","6","<3"
"10039","St Marys School, Ascot","9","<3"
"10040","Garth Hill College","<3","<3"
"10041","Ranelagh School","8","<3"
"10044","Edgbarrow School","6","<3"
"10045","Wellington College, Crowthorne","35","7"
"10046","Didcot Sixth Form","18","3"
"10048","Faringdon Community College","3","<3"
"10051","Newlands Girls' School","4","<3"
"10053","Oxford Sixth Form College","<3","<3"
"10054","Downe House School","17","3"
"10055","Kennet School","9","<3"
"10059","St Bartholomews School","17","5"
"10062","Abbey School, Reading","14","3"
"10066","Bradfield College","5","<3"
"10067","The Bulmershe School","3","<3"
"10069","Highdown School and Sixth Form","<3","<3"
"10070","Kendrick School","25","4"
"10071","Leighton Park School","6","<3"
"10072","Maiden Erlegh School","11","<3"
"10073","Oratory School, Woodcote","3","<3"
"10074","Padworth College","<3","<3"
"10075","Pangbourne College, Reading","3","<3"
"10077","Queen Anne's School","9","<3"
"10078","Reading Blue Coat School","14","<3"
"10079","Reading College","<3","<3"
"10080","Reading School","43","13"
"10085","King's Academy Prospect","3","<3"
"10087","Wallingford School","7","<3"
"10088","King Alfred's Academy","11","<3"
"10091","Windsor College","<3","<3"
"10092","Eton College","114","32"
"10093","The Windsor Boys School","<3","<3"
"10094","Windsor Girls School","6","<3"
"10097","Holt School, Wokingham","7","3"
"10098","Luckley House School","4","<3"
"10102","Christ College","9","<3"
"10107","Dr Challoner's Grammar School","16","<3"
"10108","Dr Challoner's High School for Girls","23","6"
"10110","Aylesbury High School","14","<3"
"10111","Sir Henry Floyd Grammar School, Aylesbury","<3","<3"
"10112","Aylesbury Grammar School","22","8"
"10115","Beaconsfield High School","13","<3"
"10120","Milton Keynes College","<3","<3"
"10122","Royal Latin School","24","5"
"10123","Stowe School","8","<3"
"10124","Burnham Grammar School","7","<3"
"10127","Chesham Grammar School","27","3"
"10132","Royal Grammar School, Buckinghamshire","<3","<3"
"10134","Wycombe Abbey School, High","<3","<3"
"10135","Wycombe High School, High Wycombe","23","5"
"10136","John Hampden Grammar School","9","<3"
"10137","Sir William Borlase's Grammar School","<3","<3"
