"ucas","name","application","offer"
"10001","Ysgol Syr Thomas Jones                                                   Min. Number of Records","<3","<3"
"10002","Ysgol David Hughes","5","<3"
"10003","Holyhead High School                                                     Redacted Acceptances","<3","<3"
"10006","Ysgol Gyfun Llangefni","<3","<3"
"10008","Redborne Upper School and Community","5","<3"
"10011","Bedford Modern School","16","<3"
"10012","Bedford School","12","<3"
"10022","Queensbury Academy","<3","<3"
"10023","Stoke College, Sudbury","5","<3"
"10024","Cedars Upper School, Bedfordshire","3","<3"
"10026","St Marylebone Church of England School","30","6"
"10027","Luton VI Form College","6","<3"
"10029","Abingdon School","26","13"
"10030","John Mason School, Abingdon","4","<3"
"10031","Our Lady's Abingdon Trustees Ltd","3","<3"
"10032","Radley College","51","12"
"10033","St Helen & St Katharine","5","<3"
"10036","The Marist School","<3","<3"
"10038","St Georges School, Ascot","6","<3"
"10039","St Marys School, Ascot","12","<3"
"10040","Garth Hill College","<3","<3"
"10041","Ranelagh School","4","<3"
"10042","Bracknell and Wokingham College","<3","<3"
"10043","Ysgol Gyfun Bro Myrddin","<3","<3"
"10044","Edgbarrow School","9","<3"
"10045","Wellington College, Crowthorne","42","13"
"10046","Didcot Sixth Form","10","4"
"10048","Faringdon Community College","6","<3"
"10051","Newlands Girls' School","3","<3"
"10053","Oxford Sixth Form College","7","<3"
"10054","Downe House School","17","4"
"10055","Kennet School","9","<3"
"10059","St Bartholomews School","10","<3"
"10062","Abbey School, Reading","11","<3"
"10066","Bradfield College","11","<3"
"10067","The Bulmershe School","<3","<3"
"10069","Highdown School and Sixth Form Centre","4","<3"
"10070","Kendrick School","23","4"
"10071","Leighton Park School","6","<3"
"10072","Maiden Erlegh School","7","<3"
"10073","Oratory School, Woodcote","5","<3"
"10075","Pangbourne College, Reading","3","<3"
"10077","Queen Anne's School","<3","<3"
"10078","Reading Blue Coat School","8","<3"
"10079","Reading College","<3","<3"
"10080","Reading School","38","12"
"10084","Theale Green School","3","<3"
"10085","King's Academy Prospect","3","<3"
"10087","Wallingford School","4","<3"
"10088","King Alfred's Academy","7","<3"
"10091","Windsor College","9","<3"
"10092","Eton College","117","33"
"10093","The Windsor Boys School","<3","<3"
"10094","Windsor Girls School","4","<3"
"10095","Reddam House Berkshire","5","<3"
"10096","Forest School, Winnersh","<3","<3"
"10097","Holt School, Wokingham","9","<3"
"10098","Luckley House School","3","<3"
"10102","Christ College","<3","<3"
"10107","Dr Challoner's Grammar School","27","3"
"10108","Dr Challoner's High School for Girls","26","4"
"10110","Aylesbury High School","10","<3"
"10111","Sir Henry Floyd Grammar School, Aylesbury","<3","<3"
"10112","Aylesbury Grammar School","24","6"
"10115","Beaconsfield High School","10","3"
"10122","Royal Latin School","15","<3"
"10123","Stowe School","13","<3"
"10124","Burnham Grammar School","10","<3"
"10125","Westhill Academy","<3","<3"
"10124","Burnham Grammar School","<3","<3"
"10125","Westhill Academy                                                       Min. Number of Records","<3","<3"
"10127","Chesham Grammar School","15","3"
"10131","Pipers Corner School","3","<3"
"10132","","26","<3"
"10134","Wycombe Abbey School, High Wycombe","33","11"
"10135","Wycombe High School, High Wycombe","26","4"
"10136","John Hampden Grammar School","10","<3"
"10137","Sir William Borlase's Grammar School","26","6"
"10139","Langley Grammar School","16","4"
"10140","LVS Ascot","5","<3"
"10142","Upton Court Grammar School","18","<3"
"10144","Herschel Grammar School","11","<3"
"10145","St Bernard's Catholic Grammar School","18","4"
"10149","The Radcliffe School","<3","<3"
"10153","Ysgol Dyffryn Ogwen","<3","<3"
"10156","Ysgol Syr Hugh Owen","<3","<3"
"10158","John Bright School, Llandudno","<3","<3"
"10161","Ysgol Brynrefail, Caernarfon","<3","<3"
"10169","St Katherines School, Bristol","<3","<3"
"10171","Long Road Sixth Form College","4","<3"
"10172","Hills Road Sixth Form College","158","37"
"10174","The Leys School","10","<3"
"10175","The Perse School","80","30"
"10176","St Mary's School, Cambridge","3","<3"
"10178","The King's School, Ely","5","<3"
"10180","Impington Village College","9","4"
"10185","Wisbech Grammar School","<3","<3"
"10187","Ysgol Gyfun Aberaeron","<3","<3"
"10189","Penglais School","4","<3"
"10190","Ysgol Bro Pedr","<3","<3"
"10199","","3","<3"
"10209","St Michaels School, Llanelli","8","<3"
"10210","Ysgol Dyffryn Taf","<3","<3"
"10211","Alderley Edge School for Girls","<3","<3"
"10213","Altrincham Grammar School for Boys","27","7"
"10214","Altrincham Grammar School for Girls","25","5"
"10216","Loreto Grammar School, Altrincham","7","<3"
"10219","St Ambrose College","13","<3"
"10221","Wirral Grammar School for Boys","8","<3"
"10222","Wirral Grammar School for Girls","6","<3"
"10225","","4","<3"
"10232","St Marys Music School, Edinburgh","<3","<3"
"10234","St Anselms College, Birkenhead","8","<3"
"10239","Cheadle Hulme School","9","<3"
"10240","Bede's School, Hailsham","4","<3"
"10241","Queen's Park High School","<3","<3"
"10243","The King's School, Chester","15","<3"
"10244","The Queen's School, Chester","<3","<3"
"10256","Knutsford Academy","3","<3"
"10257","Lymm High School","3","<3"
"10258","The King's School, Macclesfield","7","<3"
"10263","Malbank School and Sixth Form","3","<3"
"10268","Sir John Deanes College","31","7"
"10271","Kings School, Oxford","<3","<3"
"10272","Gryffe High School","<3","<3"
"10274","Sale Grammar School","14","3"
"10275","Sandbach School","3","<3"
"10277","Aquinas College","21","3"
"10285","Stockport Grammar School","12","<3"
"10291","Abbey Gate College","<3","<3"
"10292","Weatherhead High School","3","<3"
"10296","West Kirby Grammar School","5","<3"
"10297","Wilmslow High School","5","<3"
"10301","Calday Grange Grammar School","9","3"
"10303","Upton Hall School","7","<3"
"10306","Sidmouth College","<3","<3"
"10307","Bodmin College","3","<3"
"10308","Budehaven Community School","3","<3"
"10310","Camborne Science and International Academy","<3","<3"
"10308","Budehaven Community School","<3","<3"
"10310","","7","<3"
"10312","Falmouth School","<3","<3"
"10315","Helston Community College, Cornwall                                  Redacted Acceptances","<3","<3"
"10316","Launceston College","4","<3"
"10320","Newquay Tretherras School","<3","<3"
"10331","Truro and Penwith College","28","9"
"10332","Truro High School for Girls","9","<3"
"10333","Truro School","6","<3"
"10336","William Howard School","<3","<3"
"10337","Austin Friars","<3","<3"
"10344","Trinity School, Carlisle","<3","<3"
"10345","Ashbourne College","<3","<3"
"10348","Keswick School","6","<3"
"10349","Millom School","<3","<3"
"10351","","9","<3"
"10356","The Nelson Thomlinson School","3","<3"
"10361","Emrys Ap Iwan School","<3","<3"
"10362","Eirias High School","4","<3"
"10364","Rydal Penrhos School","4","<3"
"10370","Ysgol Dinas Bran, Llangollen","<3","<3"
"10371","Ysgol Dyffryn Conwy","<3","<3"
"10374","Ruthin School","9","<3"
"10380","Maelor School, Wrexham","<3","<3"
"10385","Queen Elizabeths Grammar School, Ashbourne","<3","<3"
"10386","Lady Manners School","6","<3"
"10387","Belper School, Belper","<3","<3"
"10391","Buxton Community School","<3","<3"
"10394","Brookfield Community School, Chesterfield","<3","<3"
"10398","Tupton Hall School","<3","<3"
"10411","Ecclesbourne School","9","<3"
"10412","John Port Spencer Academy","7","<3"
"10417","Derby High School","<3","<3"
"10419","Highfields School, Matlock","4","<3"
"10424","Repton School","9","<3"
"10428","Netherthorpe School","<3","<3"
"10429","Anthony Gell School","<3","<3"
"10432","West Buckland School","4","<3"
"10433","Shebbear College, Beaworthy","<3","<3"
"10438","Churston Ferrers Grammar School","8","<3"
"10439","Colyton Grammar School","21","8"
"10440","Queen Elizabeth's","<3","<3"
"10443","Exeter School","7","<3"
"10444","Exeter College, Hele Road Centre","40","7"
"10450","Maynard School","8","<3"
"10455","Kingsbridge Academy","<3","<3"
"10458","Stover School","<3","<3"
"10459","Okehampton College","4","<3"
"10460","The King's School, Ottery St Mary","7","<3"
"10463","Devonport High School for Boys","15","3"
"10464","Devonport High School for Girls","7","<3"
"10467","Plymouth College","4","<3"
"10468","Plymouth High School for Girls","4","<3"
"10471","Plymstock School, Plymouth","3","<3"
"10482","Mount Kelly","5","<3"
"10483","Tavistock College","4","3"
"10486","Blundell's School","7","3"
"10490","Torquay Boys Grammar School","14","3"
"10491","The Spires College","<3","<3"
"10495","Torquay Grammar School for Girls","12","<3"
"10499","King Edward VI Community College,Totnes","<3","<3"
"10501","Bryanston School","11","<3"
"10502","The Blandford School","<3","<3"
"10503","Clayesmore School","5","3"
"10506","Sir John Colfox School","<3","<3"
"10508","Thomas Hardye School","16","7"
"10511","Gillingham School","7","<3"
"10513","The Woodroffe School","7","<3"
"10514","Parkstone Grammar School","5","<3"
"10515","Poole Grammar School","<3","<3"
"10514","Parkstone Grammar School","<3","<3"
"10515","Poole Grammar School","7","<3"
"10518","Shaftesbury School","<3","<3"
"10522","The Gryphon School, Sherborne","4","<3"
"10523","Sherborne School","8","<3"
"10524","Sherborne School for Girls","9","3"
"10525","Leweston School Trust","6","<3"
"10527","The Purbeck School","4","<3"
"10532","Canford School","23","5"
"10533","Queen Elizabeths School, Wimborne","<3","<3"
"10534","Barnard Castle School","<3","<3"
"10535","Teesdale School","<3","<3"
"10537","King James","1","<3"
"10540","Park View School","5","<3"
"10545","Carmel College, A Catholic Academy (formerly","<3","<3"
"10547","Queen Elizabeth Sixth Form College, Darlington","<3","<3"
"10549","Southbank International School","6","<3"
"10550","Durham High School","<3","<3"
"10551","Durham Johnston Comprehensive School","<3","<3"
"10552","Durham School","6","<3"
"10555","Durham Sixth Form Centre","13","3"
