"ucas","name","application","offer"
"10002","Ysgol David Hughes                                                      Min. Number of Records","<3","<3"
"10008","Redborne Upper School and Community College","<3","<3"
"10011","Bedford Modern School","9","<3"
"10012","Bedford School","28","4"
"10018","Stratton Upper School, Bedfordshire","<3","<3"
"10022","Queensbury Academy","3","<3"
"10024","Cedars Upper School, Bedfordshire","4","<3"
"10026","St Marylebone Church of England","<3","<3"
"10027","Luton VI Form College","14","<3"
"10029","Abingdon School","37","5"
"10030","John Mason School, Abingdon","5","<3"
"10031","Our Lady's Abingdon Trustees Ltd","3","<3"
"10032","Radley College","31","5"
"10033","St Helen & St Katharine","6","<3"
"10036","The Marist School","<3","<3"
"10038","St Georges School, Ascot","6","3"
"10039","St Marys School, Ascot","15","7"
"10040","Garth Hill College","<3","<3"
"10041","Ranelagh School","4","<3"
"10042","Bracknell and Wokingham College","<3","<3"
"10043","Ysgol Gyfun Bro Myrddin","7","3"
"10044","Edgbarrow School","11","4"
"10045","Wellington College, Crowthorne","43","12"
"10046","Didcot Sixth Form","21","3"
"10048","Faringdon Community College","<3","<3"
"10050","Desborough College","<3","<3"
"10051","Newlands Girls' School","3","<3"
"10053","Oxford Sixth Form College","8","<3"
"10054","Downe House School","15","3"
"10055","Kennet School","7","<3"
"10059","St Bartholomews School","15","<3"
"10062","Abbey School, Reading","17","5"
"10066","Bradfield College","3","<3"
"10067","The Bulmershe School","3","<3"
"10069","Highdown School and Sixth Form Centre","6","<3"
"10070","Kendrick School","20","10"
"10071","Leighton Park School","6","<3"
"10072","Maiden Erlegh School","4","<3"
"10073","Oratory School, Woodcote","<3","<3"
"10075","Pangbourne College, Reading","<3","<3"
"10077","Queen Anne's School","6","<3"
"10078","Reading Blue Coat School","11","<3"
"10079","Reading College","<3","<3"
"10080","Reading School","42","15"
"10084","Theale Green School","<3","<3"
"10085","King's Academy Prospect","<3","<3"
"10087","Wallingford School","6","3"
"10088","King Alfred's Academy","3","<3"
"10092","Eton College","134","43"
"10093","The Windsor Boys School","3","<3"
"10094","Windsor Girls School","5","<3"
"10095","Reddam House Berkshire","3","<3"
"10096","Forest School, Winnersh","<3","<3"
"10097","Holt School, Wokingham","7","<3"
"10098","Luckley House School","<3","<3"
"10102","Christ College","4","<3"
"10107","Dr Challoner's Grammar School","46","10"
"10108","Dr Challoner's High School for Girls","8","<3"
"10110","Aylesbury High School","15","3"
"10111","Sir Henry Floyd Grammar School, Aylesbury","<3","<3"
"10112","Aylesbury Grammar School","25","8"
"10115","Beaconsfield High School","<3","<3"
"10112","Aylesbury Grammar School","<3","<3"
"10115","Beaconsfield High School","21","3"
"10122","Royal Latin School","28","<3"
"10123","Stowe School","6","<3"
"10124","Burnham Grammar School","9","<3"
"10127","Chesham Grammar School","13","<3"
"10128","St Marys School, Gerrards Cross                                        Redacted Acceptance Ra..","<3","<3"
"10131","Pipers Corner School","<3","<3"
"10132","Royal Grammar School, Buckinghamshire","<3","<3"
"10134","Wycombe Abbey School, High","<3","<3"
"10135","Wycombe High School, High Wycombe","9","<3"
"10136","John Hampden Grammar School","10","<3"
"10137","Sir William Borlase's Grammar School","31","9"
"10139","Langley Grammar School","14","<3"
"10140","LVS Ascot","<3","<3"
"10142","Upton Court Grammar School","13","<3"
"10144","Herschel Grammar School","9","<3"
"10145","St Bernard's Catholic Grammar School","9","<3"
"10153","Ysgol Dyffryn Ogwen","<3","<3"
"10155","St Gerards School, Bangor","<3","<3"
"10156","Ysgol Syr Hugh Owen","<3","<3"
"10161","Ysgol Brynrefail, Caernarfon","<3","<3"
"10169","St Katherines School, Bristol","<3","<3"
"10171","Long Road Sixth Form College","4","<3"
"10172","Hills Road Sixth Form College","143","37"
"10174","The Leys School","11","<3"
"10175","The Perse School","64","18"
"10176","St Mary's School, Cambridge","4","<3"
"10178","The King's School, Ely","4","<3"
"10180","Impington Village College","<3","<3"
"10189","Penglais School","4","<3"
"10199","Queen Elizabeth High School, Carmarthen","<3","<3"
"10204","Llandovery College","<3","<3"
"10209","St Michaels School, Llanelli","<3","<3"
"10210","Ysgol Dyffryn Taf","<3","<3"
"10211","Alderley Edge School for Girls","<3","<3"
"10213","Altrincham Grammar School for Boys","24","10"
"10214","Altrincham Grammar School for Girls","21","<3"
"10216","Loreto Grammar School, Altrincham","11","<3"
"10219","St Ambrose College","13","<3"
"10221","Wirral Grammar School for Boys","5","<3"
"10222","Wirral Grammar School for Girls","7","<3"
"10225","Birkenhead School, Birkenhead, Merseyside","<3","<3"
"10232","St Marys Music School, Edinburgh","<3","<3"
"10234","St Anselms College, Birkenhead","7","<3"
"10239","Cheadle Hulme School","15","<3"
"10240","Bede's School, Hailsham","4","<3"
"10243","The King's School, Chester","9","<3"
"10244","The Queen's School, Chester","3","<3"
"10256","Knutsford Academy","4","<3"
"10257","Lymm High School","9","<3"
"10258","The King's School, Macclesfield","8","<3"
"10263","Malbank School and Sixth Form","<3","<3"
"10268","Sir John Deanes College","21","5"
"10269","St John Plessington Catholic College","<3","<3"
"10271","Kings School, Oxford","4","<3"
"10272","Gryffe High School","<3","<3"
"10274","Sale Grammar School","9","3"
"10275","Sandbach School","<3","<3"
"10277","Aquinas College","9","<3"
"10285","Stockport Grammar School","7","<3"
"10296","West Kirby Grammar School","7","<3"
"10297","Wilmslow High School","<3","<3"
"10296","West Kirby Grammar School","<3","<3"
"10297","Wilmslow High School","4","<3"
