"ucas","name","postcode","status","application","offer"
"10002","Ysgol David Hughes","LL59 5SS","Maintained","<3","<3"
"10008","Redborne Upper School and Community College","MK45 2NU","Maintained","4","<3"
"10011","Bedford Modern School","MK41 7NT","Independent","12","5"
"10012","Bedford School","MK40 2TU","Independent","12","3"
"10018","Stratton Upper School, Bedfordshire","SG18 8JB","Maintained","4","<3"
"10020","Manshead School, Luton","LU1 4BB","Maintained","<3","<3"
"10022","Queensbury Academy","LU6 3BU","Maintained","3","<3"
"10023","Stoke College, Sudbury","CO10 8JE","Independent","<3","<3"
"10024","Cedars Upper School, Bedfordshire","LU7 2AE","Maintained","<3","<3"
"10026","St Marylebone Church of England School","W1U 5BA","Maintained","9","3"
"10027","Luton VI Form College","LU2 7EW","Maintained","23","4"
"10029","Abingdon School","OX14 1DE","Independent","35","7"
"10030","John Mason School, Abingdon","OX14 1JB","Maintained","5","3"
"10031","Our Lady's Abingdon Trustees Ltd","OX14 3PS","Independent","5","<3"
"10032","Radley College","OX14 2HR","Independent","8","<3"
"10033","St Helen & St Katharine","OX14 1BE","Independent","16","6"
"10034","Heathfield School, Berkshire","SL5 8BQ","Independent","<3","<3"
"10039","St Marys School, Ascot","SL5 9JF","Independent","12","<3"
"10040","Garth Hill College","RG42 2AD","Maintained","<3","<3"
"10041","Ranelagh School","RG12 9DA","Maintained","<3","<3"
"10043","Ysgol Gyfun Bro Myrddin","SA32 8DN","Maintained","<3","<3"
"10044","Edgbarrow School","RG45 7HZ","Maintained","<3","<3"
"10045","Wellington College, Crowthorne","RG45 7PU","Independent","30","7"
"10046","Didcot Sixth Form","OX11 7AJ","Maintained","3","<3"
"10048","Faringdon Community College","SN7 7LB","Maintained","<3","<3"
"10053","Oxford Sixth Form College","OX1 4HT","Independent","4","<3"
"10054","Downe House School","RG18 9JJ","Independent","7","4"
"10055","Kennet School","RG19 4LL","Maintained","3","<3"
"10059","St Bartholomews School","RG14 6JP","Maintained","12","6"
"10062","Abbey School, Reading","RG1 5DZ","Independent","12","5"
"10066","Bradfield College","RG7 6AU","Independent","<3","<3"
"10067","The Bulmershe School","RG5 3EU","Maintained","<3","<3"
"10069","Highdown School and Sixth Form Centre","RG4 8LR","Maintained","<3","<3"
"10070","Kendrick School","RG1 5BN","Maintained","23","4"
"10071","Leighton Park School","RG2 7ED","Independent","<3","<3"
"10072","Maiden Erlegh School","RG6 7HS","Maintained","<3","<3"
"10075","Pangbourne College, Reading","RG8 8LA","Independent","3","<3"
"10077","Queen Anne's School","RG4 6DX","Independent","3","<3"
"10078","Reading Blue Coat School","RG4 6SU","Independent","5","<3"
"10080","Reading School","RG1 5LW","Maintained","28","9"
"10087","Wallingford School","OX10 8HH","Maintained","4","<3"
"10088","King Alfred's Academy","OX12 9BY","Maintained","3","<3"
"10091","Windsor College","SL4 3AZ","Maintained","<3","<3"
"10092","Eton College","SL4 6DW","Independent","64","25"
"10093","The Windsor Boys School","SL4 5EH","Maintained","9","<3"
"10094","Windsor Girls School","SL4 3RT","Maintained","<3","<3"
"10095","Reddam House Berkshire","RG41 5BG","Independent","<3","<3"
"10097","Holt School, Wokingham","RG41 1EE","Maintained","<3","<3"
