"ucas","name","postcode","status","application","offer"
"10006","Ysgol Gyfun Llangefni","LL77 7NG","Maintained","<3","<3"
"10008","Redborne Upper School and Community College","MK45 2NU","Maintained","8","3"
"10011","Bedford Modern School","MK41 7NT","Independent","16","<3"
"10012","Bedford School","MK40 2TU","Independent","19","3"
"10018","Stratton Upper School, Bedfordshire","SG18 8JB","Maintained","<3","<3"
"10022","Queensbury Academy","LU6 3BU","Maintained","4","<3"
"10024","Cedars Upper School, Bedfordshire","LU7 2AE","Maintained","4","<3"
"10026","St Marylebone Church of England School","W1U 5BA","Maintained","15","<3"
"10027","Luton VI Form College","LU2 7EW","Maintained","11","4"
"10029","Abingdon School","OX14 1DE","Independent","26","5"
"10030","John Mason School, Abingdon","OX14 1JB","Maintained","4","<3"
"10031","Our Lady's Abingdon Trustees Ltd","OX14 3PS","Independent","4","<3"
"10032","Radley College","OX14 2HR","Independent","14","<3"
"10033","St Helen & St Katharine","OX14 1BE","Independent","16","3"
"10036","The Marist School","SL5 7PS","Independent","<3","<3"
"10038","St Georges School, Ascot","SL5 7DZ","Independent","<3","<3"
"10039","St Marys School, Ascot","SL5 9JF","Independent","15","<3"
"10040","Garth Hill College","RG42 2AD","Maintained","<3","<3"
"10041","Ranelagh School","RG12 9DA","Maintained","4","<3"
"10043","Ysgol Gyfun Bro Myrddin","SA32 8DN","Maintained","3","<3"
"10044","Edgbarrow School","RG45 7HZ","Maintained","5","<3"
"10045","Wellington College, Crowthorne","RG45 7PU","Independent","40","9"
"10046","Didcot Sixth Form","OX11 7AJ","Maintained","11","5"
"10048","Faringdon Community College","SN7 7LB","Maintained","3","<3"
"10051","Newlands Girls' School","SL6 5JB","Maintained","<3","<3"
"10053","Oxford Sixth Form College","OX1 4HT","Independent","3","<3"
"10054","Downe House School","RG18 9JJ","Independent","12","4"
"10055","Kennet School","RG19 4LL","Maintained","<3","<3"
"10059","St Bartholomews School","RG14 6JP","Maintained","6","<3"
"10062","Abbey School, Reading","RG1 5DZ","Independent","10","<3"
"10066","Bradfield College","RG7 6AU","Independent","6","<3"
"10067","The Bulmershe School","RG5 3EU","Maintained","<3","<3"
"10069","Highdown School and Sixth Form Centre","RG4 8LR","Maintained","3","<3"
"10070","Kendrick School","RG1 5BN","Maintained","17","8"
"10071","Leighton Park School","RG2 7ED","Independent","4","<3"
"10072","Maiden Erlegh School","RG6 7HS","Maintained","4","<3"
"10075","Pangbourne College, Reading","RG8 8LA","Independent","3","<3"
"10077","Queen Anne's School","RG4 6DX","Independent","4","<3"
"10078","Reading Blue Coat School","RG4 6SU","Independent","5","<3"
"10079","Reading College","RG1 4HJ","Maintained","<3","<3"
"10080","Reading School","RG1 5LW","Maintained","44","15"
"10087","Wallingford School","OX10 8HH","Maintained","7","<3"
"10088","King Alfred's Academy","OX12 9BY","Maintained","8","3"
"10092","Eton College","SL4 6DW","Independent","70","13"
"10093","The Windsor Boys School","SL4 5EH","Maintained","4","<3"
"10094","Windsor Girls School","SL4 3RT","Maintained","<3","<3"
"10095","Reddam House Berkshire","RG41 5BG","Independent","<3","<3"
"10096","Forest School, Winnersh","RG41 5NE","Maintained","<3","<3"
"10097","Holt School, Wokingham","RG41 1EE","Maintained","<3","<3"
"10102","Christ College","LD3 8AF","Independent","4","<3"
"10107","Dr Challoner's Grammar School","HP6 5HA","Maintained","37","15"
"10108","Dr Challoner's High School for Girls","HP7 9QB","Maintained","21","<3"
"10110","Aylesbury High School","HP21 7SX","Maintained","18","7"
"10111","Sir Henry Floyd Grammar School, Aylesbury","HP21 8PE","Maintained","11","3"
"10112","Aylesbury Grammar School","HP21 7RP","Maintained","32","10"
"10115","Beaconsfield High School","HP9 1RR","Maintained","8","<3"
"10120","Milton Keynes College","MK6 5LP","Maintained","<3","<3"
"10122","Royal Latin School","MK18 1AX","Maintained","22","7"
"10123","Stowe School","MK18 5EH","Independent","10","<3"
"10124","Burnham Grammar School","SL1 7HG","Maintained","<3","<3"
"10125","Westhill Academy","AB32 6XZ","Maintained","3","<3"
"10127","Chesham Grammar School","HP5 1BA","Maintained","16","<3"
"10132","Royal Grammar School, Buckinghamshire","HP13 6QT","Maintained","31","10"
"10134","Wycombe Abbey School, High Wycombe","HP11 1PE","Independent","38","17"
"10135","Wycombe High School, High Wycombe","HP11 1TB","Maintained","5","<3"
"10136","John Hampden Grammar School","HP11 1SZ","Maintained","4","<3"
"10137","Sir William Borlase's Grammar School","SL7 2BR","Maintained","14","<3"
"10139","Langley Grammar School","SL3 7QS","Maintained","12","3"
"10142","Upton Court Grammar School","SL3 7PR","Maintained","14","5"
"10144","Herschel Grammar School","SL1 3BW","Maintained","11","<3"
"10145","St Bernard's Catholic Grammar School","SL3 7AF","Maintained","12","<3"
"10149","The Radcliffe School","MK12 5BT","Maintained","3","<3"
"10155","St Gerards School, Bangor","LL57 2EL","Independent","<3","<3"
"10160","St Davids College, Llandudno","LL30 1RD","Independent","<3","<3"
"10161","Ysgol Brynrefail, Caernarfon","LL55 4AD","Maintained","<3","<3"
"10168","The Netherhall School and Oakes Sixth Form College","CB1 8NN","Maintained","6","<3"
"10171","Long Road Sixth Form College","CB2 8PX","Maintained","5","<3"
"10172","Hills Road Sixth Form College","CB2 8PE","Maintained","101","27"
"10174","The Leys School","CB2 7AD","Independent","9","<3"
"10175","The Perse School","CB2 8QF","Independent","63","20"
"10176","St Mary's School, Cambridge","CB2 1LY","Independent","3","<3"
"10178","The King's School, Ely","CB7 4DB","Independent","6","<3"
"10179","Stowupland High School","IP14 4BQ","Maintained","<3","<3"
"10180","Impington Village College","CB24 9LX","Maintained","3","<3"
"10182","Neale-Wade Academy","PE15 9PX","Maintained","<3","<3"
"10185","Wisbech Grammar School","PE13 1JX","Independent","<3","<3"
"10187","Ysgol Gyfun Aberaeron","SA46 0DT","Maintained","<3","<3"
"10189","Penglais School","SY23 3AW","Maintained","6","<3"
"10190","Ysgol Bro Pedr","SA48 7BX","Maintained","<3","<3"
"10199","Queen Elizabeth High School, Carmarthen","SA31 3NL","Maintained","4","<3"
"10204","Llandovery College","SA20 0EE","Independent","3","<3"
"10209","St Michaels School, Llanelli","SA14 9TU","Independent","5","<3"
"10210","Ysgol Dyffryn Taf","SA34 0BD","Maintained","<3","<3"
"10211","Alderley Edge School for Girls","SK9 7QE","Independent","<3","<3"
"10213","Altrincham Grammar School for Boys","WA14 2RS","Maintained","29","8"
"10214","Altrincham Grammar School for Girls","WA14 2NL","Maintained","28","12"
"10216","Loreto Grammar School, Altrincham","WA14 4AH","Maintained","9","4"
"10219","St Ambrose College","WA15 0HE","Maintained","13","3"
"10221","Wirral Grammar School for Boys","CH63 3AQ","Maintained","5","<3"
"10222","Wirral Grammar School for Girls","CH63 3AF","Maintained","<3","<3"
"10225","Birkenhead School, Birkenhead, Merseyside","CH43 2JD","Independent","6","<3"
