"ucas","name","postcode","status","application","offer"
"10002","Ysgol David Hughes","LL59 5SS","Maintained","<=5","<=5"
"10006","Ysgol Gyfun Llangefni","LL77 7NG","Maintained","<=5","<=5"
"10008","Redborne Upper School and Community College","MK45 2NU","Maintained","8","<=5"
"10011","Bedford Modern School","MK41 7NT","Independent","14","<=5"
"10012","Bedford School","MK40 2TU","Independent","10","<=5"
"10022","Queensbury Academy, Bedfordshire","LU6 3BU","Maintained","<=5","<=5"
"10023","Stoke College","CO10 8JE","Independent","<=5","<=5"
"10024","Cedars Upper School","LU7 2AE","Maintained","<=5","<=5"
"10026","The St Marylebone CofE School","W1U 5BA","Maintained","14","<=5"
"10027","Luton Sixth Form College","LU2 7EW","Maintained","14","<=5"
"10029","Abingdon School","OX14 1DE","Independent","29","7"
"10030","John Mason School","OX14 1JB","Maintained","<=5","<=5"
"10031","Our Lady's Abingdon","OX14 3PS","Independent","<=5","<=5"
"10032","Radley College","OX14 2HR","Independent","11","<=5"
"10033","St Helen and St Katharine","OX14 1BE","Independent","13","6"
"10038","St Georges School, Ascot","SL5 7DZ","Independent","<=5","<=5"
"10039","St Mary's School Ascot","SL5 9JF","Independent","<=5","<=5"
"10040","Garth Hill College","RG42 2AD","Maintained","<=5","<=5"
"10041","Ranelagh School","RG12 9DA","Maintained","<=5","<=5"
"10044","Edgbarrow School","RG45 7HZ","Maintained","<=5","<=5"
"10045","Wellington College, Crowthorne","RG45 7PU","Independent","20","<=5"
"10046","Didcot Sixth Form College","OX11 7AJ","Maintained","6","<=5"
"10048","Faringdon Community College","SN7 7LB","Maintained","<=5","<=5"
"10050","Desborough College","SL6 2QB","Maintained","<=5","<=5"
"10051","Newlands Girls' School","SL6 5JB","Maintained","<=5","<=5"
"10053","Oxford Sixth Form College","OX1 4HT","Independent","<=5","<=5"
"10054","Downe House","RG18 9JJ","Independent","6","0"
"10055","Kennet School","RG19 4LL","Maintained","7","<=5"
"10059","St Bartholomew's School","RG14 6JP","Maintained","8","<=5"
"10062","The Abbey School Reading","RG1 5DZ","Independent","<=5","<=5"
"10066","Bradfield College","RG7 6AU","Independent","<=5","<=5"
"10067","The Bulmershe School","RG5 3EU","Maintained","<=5","<=5"
"10069","Highdown School and Sixth Form Centre","RG4 8LR","Maintained","<=5","<=5"
"10070","Kendrick School","RG1 5BN","Maintained","20","9"
"10071","Leighton Park School","RG2 7ED","Independent","<=5","<=5"
"10072","Maiden Erlegh School","RG6 7HS","Maintained","8","<=5"
"10073","The Oratory School","RG8 0PJ","Independent","<=5","<=5"
"10075","Pangbourne College","RG8 8LA","Independent","<=5","<=5"
"10077","Queen Anne's School","RG4 6DX","Independent","<=5","<=5"
"10078","Reading Blue Coat School","RG4 6SU","Independent","8","0"
"10079","Reading College","RG1 4HJ","Maintained","<=5","<=5"
"10080","Reading School","RG1 5LW","Maintained","34","12"
