"ucas","name","postcode","status","application","offer"
"10087","Wallingford School","OX10 8HH","Maintained","6","<=5"
"10088","King Alfred's Academy","OX12 9BY","Maintained","8","<=5"
"10092","Eton College","SL4 6DW","Independent","52","20"
"10093","The Windsor Boys' School","SL4 5EH","Maintained","<=5","<=5"
"10094","Windsor Girls' School","SL4 3RT","Maintained","<=5","<=5"
"10095","Reddam House Berkshire","RG41 5BG","Independent","<=5","<=5"
"10096","Forest School, Winnersh","RG41 5NE","Maintained","<=5","<=5"
"10097","The Holt School","RG41 1EE","Maintained","<=5","<=5"
"10098","Luckley House School","RG40 3EU","Independent","<=5","<=5"
"10102","Christ College","LD3 8AF","Independent","<=5","<=5"
"10107","Dr Challoner's Grammar School","HP6 5HA","Maintained","52","16"
"10108","Dr Challoner's High School","HP7 9QB","Maintained","22","6"
"10110","Aylesbury High School","HP21 7SX","Maintained","26","7"
"10111","Sir Henry Floyd Grammar School","HP21 8PE","Maintained","17","6"
"10112","Aylesbury Grammar School","HP21 7RP","Maintained","28","6"
"10115","Beaconsfield High School","HP9 1RR","Maintained","13","6"
"10122","Royal Latin School","MK18 1AX","Maintained","19","8"
"10123","Stowe School","MK18 5EH","Independent","8","<=5"
"10124","Burnham Grammar School","SL1 7HG","Maintained","8","<=5"
"10125","Westhill Academy","AB32 6XZ","Maintained","<=5","<=5"
"10127","Chesham Grammar School","HP5 1BA","Maintained","24","7"
"10128","St Marys School, Gerrards Cross","SL9 8JQ","Independent","<=5","<=5"
"10131","Pipers Corner School","HP15 6LP","Independent","<=5","<=5"
"10132","The Royal Grammar School, High Wycombe","HP13 6QT","Maintained","50","7"
"10134","Wycombe Abbey","HP11 1PE","Independent","31","7"
"10135","Wycombe High School","HP11 1TB","Maintained","13","<=5"
"10136","John Hampden Grammar School","HP11 1SZ","Maintained","9","<=5"
"10137","Sir William Borlase's Grammar School","SL7 2BR","Maintained","34","12"
"10139","Langley Grammar School","SL3 7QS","Maintained","14","<=5"
"10142","Upton Court Grammar School","SL3 7PR","Maintained","10","0"
"10144","Herschel Grammar School","SL1 3BW","Maintained","8","<=5"
"10145","St Bernard's Catholic Grammar School","SL3 7AF","Maintained","12","<=5"
"10149","The Radcliffe School","MK12 5BT","Maintained","<=5","<=5"
"10156","Ysgol Syr Hugh Owen","LL55 1HW","Maintained","<=5","<=5"
"10158","Ysgol John Bright","LL30 1DF","Maintained","<=5","<=5"
"10160","St David's College","LL30 1RD","Independent","<=5","<=5"
"10161","Ysgol Brynrefail","LL55 4AD","Maintained","<=5","<=5"
"10168","The Netherhall School","CB1 8NN","Maintained","<=5","<=5"
"10169","St Katherine's School","BS20 0HU","Maintained","<=5","<=5"
"10171","Long Road Sixth Form College","CB2 8PX","Maintained","16","<=5"
"10172","Hills Road Sixth Form College","CB2 8PE","Maintained","110","24"
"10174","The Leys School","CB2 7AD","Independent","16","<=5"
"10175","The Perse School","CB2 8QF","Independent","75","15"
"10176","St Mary's School, Cambridge","CB2 1LY","Independent","<=5","<=5"
"10178","King's Ely","CB7 4DB","Independent","<=5","<=5"
"10179","Stowupland High School","IP14 4BQ","Maintained","<=5","<=5"
"10180","Impington Village College","CB24 9LX","Maintained","<=5","<=5"
"10182","Neale-Wade Academy","PE15 9PX","Maintained","<=5","<=5"
"10185","Wisbech Grammar School","PE13 1RH","Independent","<=5","<=5"
"10187","Ysgol Gyfun Aberaeron","SA46 0DT","Maintained","<=5","<=5"
"10189","Ysgol Penglais","SY23 3AW","Maintained","<=5","<=5"
"10199","Queen Elizabeth High","SA31 3NL","Maintained","<=5","<=5"
"10209","St Michael's School, Carmarthenshire","SA14 9TU","Independent","<=5","<=5"
"10211","Alderley Edge School for Girls","SK9 7QE","Independent","<=5","<=5"
"10213","Altrincham Grammar School for Boys","WA14 2RS","Maintained","35","<=5"
"10214","Altrincham Grammar School for Girls","WA14 2NL","Maintained","13","<=5"
"10216","Loreto Grammar School, Altrincham","WA14 4AH","Maintained","7","<=5"
"10219","St Ambrose College","WA15 0HE","Maintained","7","<=5"
"10221","Wirral Grammar School for Boys","CH63 3AQ","Maintained","<=5","<=5"
"10222","Wirral Grammar School for Girls","CH63 3AF","Maintained","11","<=5"
"10225","Birkenhead School","CH43 2JD","Independent","<=5","<=5"
"10232","St Mary's Music School","EH12 5EL","Independent","<=5","<=5"
"10234","St Anselm's College","CH43 1UQ","Maintained","<=5","<=5"
"10239","Cheadle Hulme School","SK8 6EF","Independent","6","<=5"
"10240","Bede's Senior School","BN27 3QH","Independent","<=5","<=5"
"10243","The King's School, Chester","CH4 7QL","Independent","15","<=5"
"10244","The Queen's School","CH1 2NN","Independent","<=5","<=5"
"10256","Knutsford Academy","WA16 0EA","Maintained","<=5","<=5"
"10257","Lymm High School","WA13 0RB","Maintained","7","0"
"10258","The King's School In Macclesfield","SK10 4SP","Independent","<=5","<=5"
"10268","Sir John Deane's College","CW9 8AF","Maintained","37","8"
"10269","St John Plessington Catholic College","CH63 7LF","Maintained","<=5","<=5"
"10271","Kings Education (Oxford)","OX4 2UJ","Independent","<=5","<=5"
"10272","Gryffe High School","PA6 7EB","Maintained","<=5","<=5"
"10274","Sale Grammar School","M33 3NH","Maintained","14","<=5"
"10275","Sandbach School","CW11 3NS","Maintained","<=5","<=5"
"10277","Aquinas College Stockport","SK2 6TH","Maintained","16","6"
"10285","Stockport Grammar School","SK2 7AF","Independent","9","<=5"
"10291","Abbey Gate College","CH3 6EN","Independent","<=5","<=5"
"10292","Weatherhead High School","CH44 3HS","Maintained","<=5","<=5"
"10296","West Kirby Grammar School","CH48 5DP","Maintained","10","8"
"10297","Wilmslow High School","SK9 1LZ","Maintained","15","6"
"10301","Calday Grange Grammar School","CH48 8GG","Maintained","16","<=5"
"10303","Upton Hall School FCJ","CH49 6LJ","Maintained","<=5","<=5"
"10307","Bodmin College","PL31 1DD","Maintained","<=5","<=5"
"10310","Camborne Science and International Academy","TR14 7PP","Maintained","7","<=5"
"10316","Launceston College","PL15 9JR","Maintained","<=5","<=5"
"10319","Liskeard School and Community College","PL14 3EA","Maintained","<=5","<=5"
"10320","Newquay Tretherras School","TR7 3BH","Maintained","<=5","<=5"
"10327","Saltash Community School","PL12 4AY","Maintained","<=5","<=5"
"10331","Truro and Penwith College","TR1 3XX","Maintained","25","8"
"10333","Truro School","TR1 1TH","Independent","<=5","<=5"
"10336","William Howard School","CA8 1AR","Maintained","<=5","<=5"
"10344","Trinity School, Carlisle","CA1 1JB","Maintained","<=5","<=5"
"10345","Ashbourne College","W8 4PL","Independent","8","<=5"
"10346","Cockermouth School","CA13 9HF","Maintained","<=5","<=5"
"10348","Keswick School","CA12 5QB","Maintained","<=5","<=5"
"10351","Queen Elizabeth Grammar School Penrith","CA11 7EG","Maintained","6","<=5"
"10352","St Bees School","CA27 0DS","Independent","<=5","<=5"
"10364","Rydal Penrhos","LL29 7BT","Independent","<=5","<=5"
"10367","Denbigh High School, Denbigh","LL16 3EX","Maintained","<=5","<=5"
"10370","Ysgol Dinas Bran","LL20 8TG","Maintained","<=5","<=5"
"10371","Ysgol Dyffryn Conwy","LL26 0SD","Maintained","<=5","<=5"
"10373","Ysgol Brynhyfryd","LL15 1EG","Maintained","<=5","<=5"
"10374","Ruthin School","LL15 1EE","Independent","6","<=5"
"10385","Queen Elizabeths Grammar School, Ashbourne","DE6 1EP","Maintained","<=5","<=5"
"10386","Lady Manners School","DE45 1JA","Maintained","<=5","<=5"
"10387","Belper School and Sixth Form Centre","DE56 0DA","Maintained","<=5","<=5"
"10391","Buxton Community School","SK17 9EA","Maintained","<=5","<=5"
"10394","Brookfield Community School, Chesterfield","S40 3NS","Maintained","<=5","<=5"
"10398","Tupton Hall School","S42 6LG","Maintained","<=5","<=5"
"10411","The Ecclesbourne School","DE56 4GS","Maintained","13","6"
"10412","John Port Spencer Academy","DE65 6LU","Maintained","<=5","<=5"
"10417","Derby High School","DE23 3DT","Independent","<=5","<=5"
"10419","Highfields School","DE4 5NA","Maintained","<=5","<=5"
"10424","Repton School","DE65 6FH","Independent","8","<=5"
"10428","Netherthorpe School","S43 3PU","Maintained","<=5","<=5"
"10432","West Buckland School","EX32 0SX","Independent","<=5","<=5"
"10433","Shebbear College","EX21 5HJ","Independent","<=5","<=5"
"10434","Bideford College","EX39 3AR","Maintained","<=5","<=5"
"10438","Churston Ferrers Grammar School","TQ5 0LN","Maintained","<=5","<=5"
"10439","Colyton Grammar School","EX24 6HN","Maintained","29","19"
"10440","Queen Elizabeth's Community College","EX17 3LU","Maintained","<=5","<=5"
"10443","Exeter School","EX2 4NS","Independent","7","<=5"
"10444","Exeter College","EX4 4JS","Maintained","23","<=5"
"10450","The Maynard School","EX1 1SJ","Independent","<=5","<=5"
"10455","Kingsbridge Academy","TQ7 1PL","Maintained","<=5","<=5"
"10458","Stover School","TQ12 6QG","Independent","<=5","<=5"
"10459","Okehampton College","EX20 1PW","Maintained","<=5","<=5"
"10460","The King's School, Ottery St Mary","EX11 1RA","Maintained","<=5","<=5"
"10463","Devonport High School for Boys","PL1 5QP","Maintained","6","<=5"
"10464","Devonport High School for Girls","PL2 3DL","Maintained","13","<=5"
"10467","Plymouth College","PL4 6RN","Independent","<=5","<=5"
"10468","Plymouth High School for Girls","PL4 6HT","Maintained","<=5","<=5"
"10471","Plymstock School","PL9 9AZ","Maintained","<=5","<=5"
"10482","Mount Kelly","PL19 0HZ","Independent","<=5","<=5"
"10483","Tavistock College","PL19 8DD","Maintained","<=5","<=5"
"10486","Blundell's School","EX16 4DN","Independent","<=5","<=5"
"10490","Torquay Boys' Grammar School","TQ2 7EL","Maintained","13","<=5"
"10495","Torquay Girls Grammar School","TQ2 7DY","Maintained","7","0"
"10499","King Edward VI Community College","TQ9 5JX","Maintained","<=5","<=5"
"10501","Bryanston School","DT11 0PX","Independent","<=5","<=5"
"10502","The Blandford School","DT11 7SQ","Maintained","<=5","<=5"
"10508","The Thomas Hardye School","DT1 2ET","Maintained","8","<=5"
"10511","Gillingham School","SP8 4QP","Maintained","<=5","<=5"
"10513","The Woodroffe School","DT7 3LX","Maintained","<=5","<=5"
"10514","Parkstone Grammar School","BH17 7EP","Maintained","14","<=5"
"10515","Poole Grammar School","BH17 9JU","Maintained","14","<=5"
"10518","Shaftesbury School","SP7 8ER","Maintained","<=5","<=5"
"10522","The Gryphon School","DT9 4EQ","Maintained","10","0"
"10523","Sherborne School","DT9 3AP","Independent","7","<=5"
"10524","Sherborne School for Girls","DT9 3QN","Independent","<=5","<=5"
"10525","Leweston School","DT9 6EN","Independent","<=5","<=5"
"10527","The Purbeck School","BH20 4PF","Maintained","<=5","<=5"
"10532","Canford School","BH21 3AD","Independent","17","<=5"
"10533","Queen Elizabeth's School","BH21 4DT","Maintained","<=5","<=5"
"10534","Barnard Castle School","DL12 8UN","Independent","7","0"
"10535","Teesdale School","DL12 8HH","Maintained","<=5","<=5"
"10545","Carmel RC College","DL3 8RW","Maintained","<=5","<=5"
"10547","Queen Elizabeth Sixth Form College","DL3 7AU","Maintained","14","0"
"10549","Southbank International School Westminster","W11 3BU","Independent","<=5","<=5"
"10551","Durham Johnston Comprehensive School","DH1 4SU","Maintained","17","6"
"10552","Durham Cathedral Schools Foundation","DH1 4SZ","Independent","<=5","<=5"
"10555","Durham Sixth Form Centre","DH1 1SG","Maintained","17","<=5"
"10559","Gateshead College","NE8 3BE","Maintained","<=5","<=5"
"10560","Grace College","NE9 6LE","Maintained","<=5","<=5"
"10563","Hartlepool Sixth Form College","TS25 5PF","Maintained","<=5","<=5"
"10568","The English Martyrs School and Sixth Form College","TS25 4HA","Maintained","<=5","<=5"
"10569","St Joseph's Catholic Academy","NE31 2ET","Maintained","<=5","<=5"
"10573","The Weston Road Academy","ST18 0YG","Maintained","<=5","<=5"
"10586","Chase Grammar School","WS11 0UR","Independent","<=5","<=5"
"10607","Egglescliffe School","TS16 0LA","Maintained","8","<=5"
"10608","Teesside High School","TS16 9AT","Independent","<=5","<=5"
"10614","The Cotswold School","GL54 2BD","Maintained","12","<=5"
"10615","Barking Abbey School, A Specialist Sports and Humanities College","IG11 9AG","Maintained","8","0"
"10616","Eastbury Community School","IG11 9UW","Maintained","<=5","<=5"
"10622","The Billericay School","CM12 9LH","Maintained","8","0"
"10630","Brentwood School, Essex","CM15 8EE","Independent","7","<=5"
"10631","Shenfield High School","CM15 8RY","Maintained","<=5","<=5"
"10632","Brentwood Ursuline Convent High School","CM14 4EX","Maintained","<=5","<=5"
"10634","St John Payne Catholic School, Chelmsford","CM1 4BS","Maintained","<=5","<=5"
"10635","Chelmsford College","CM2 0JQ","Maintained","<=5","<=5"
"10636","Chelmsford County High School for Girls","CM1 1RW","Maintained","30","14"
"10637","Moulsham High School","CM2 9ES","Maintained","<=5","<=5"
"10639","Chelmer Valley High School","CM1 7ER","Maintained","<=5","<=5"
"10640","New Hall School","CM3 3HS","Independent","6","0"
"10641","Great Baddow High School","CM2 9RZ","Maintained","<=5","<=5"
"10642","King Edward VI Grammar School, Chelmsford","CM1 3SX","Maintained","50","20"
"10645","Chigwell School","IG7 6QF","Independent","9","0"
"10646","West Hatch High School","IG7 5BT","Maintained","<=5","<=5"
"10647","Clacton County High School","CO15 6DZ","Maintained","<=5","<=5"
"10652","Colchester County High School for Girls","CO3 3US","Maintained","16","6"
"10653","Colchester Royal Grammar School","CO3 3ND","Maintained","71","37"
"10656","The Sixth Form College Colchester","CO1 1SN","Maintained","28","8"
"10658","Sigma Sixth Colchester","CO3 4QS","Maintained","<=5","<=5"
"10661","Thurstable School Sports College and Sixth Form Centre","CO5 0EW","Maintained","<=5","<=5"
"10663","ACS Cobham International School","KT11 1BL","Independent","<=5","<=5"
"10664","St Brigid's School","LL16 4BH","Maintained","<=5","<=5"
"10665","All Saints Catholic School and Technology College","RM8 1JT","Maintained","<=5","<=5"
"10666","Kendal College","LA9 5AY","Maintained","<=5","<=5"
"10669","The Sydney Russell School","RM9 5QT","Maintained","9","<=5"
"10671","Robert Clack School","RM8 1JU","Maintained","6","0"
"10673","Harwich and Dovercourt High School","CO12 3TG","Maintained","<=5","<=5"
"10674","Felsted School","CM6 3LL","Independent","<=5","<=5"
"10675","St. John Fisher Catholic High School, Peterborough","PE1 5JN","Maintained","<=5","<=5"
"10677","Unified Seevic Palmer's College, Palmer's Campus","RM17 5TD","Maintained","<=5","<=5"
"10683","Harlow College","CM20 3LH","Maintained","<=5","<=5"
"10688","St Mark's West Essex Catholic School","CM18 6AA","Maintained","<=5","<=5"
"10691","The Campion School","RM11 3BX","Maintained","6","0"
"10694","Beal High School","IG4 5LP","Maintained","16","0"
"10695","Seven Kings School","IG2 7BT","Maintained","7","0"
"10697","Ilford County High School","IG6 2JB","Maintained","19","0"
"10698","Valentines High School","IG2 6HX","Maintained","10","0"
"10699","Ilford Ursuline High School","IG1 4JU","Maintained","<=5","<=5"
"10700","Anglo European School","CM4 0DJ","Maintained","9","<=5"
"10704","Davenant Foundation School","IG10 2LD","Maintained","8","<=5"
"10715","Biddenham International School and Sports College","MK40 4AZ","Maintained","<=5","<=5"
"10719","The Frances Bardsley Academy for Girls","RM1 2RR","Maintained","<=5","<=5"
"10723","St Edward's Church of England Academy","RM7 9NX","Maintained","<=5","<=5"
"10725","Joyce Frankland Academy, Newport","CB11 3TR","Maintained","<=5","<=5"
"10726","Saffron Walden County High School","CB11 4UH","Maintained","11","6"
"10727","Southend High School for Boys","SS0 0RG","Maintained","23","6"
"10728","Southend High School for Girls","SS2 4UZ","Maintained","16","6"
"10734","Sacred Heart of Mary Girls' School","RM14 2QR","Maintained","<=5","<=5"
"10735","Westcliff High School for Boys","SS0 0BP","Maintained","28","10"
"10736","Westcliff High School for Girls","SS0 0BS","Maintained","24","<=5"
"10738","Beauchamps High School","SS11 8LY","Maintained","<=5","<=5"
"10739","Bancroft's School","IG8 0RF","Independent","33","8"
"10741","Woodford County High School","IG8 9LA","Maintained","23","<=5"
"10748","Mold Alun School","CH7 1EP","Maintained","<=5","<=5"
"10749","Ysgol Maes Garmon","CH7 1JB","Maintained","<=5","<=5"
"10752","St James Senior Girls' School","W14 8SH","Independent","<=5","<=5"
"10753","Ysgol Uwchradd Glan Clwyd","LL17 0RP","Maintained","<=5","<=5"
"10759","Whitmore High School, Barry","CF62 8ZJ","Maintained","<=5","<=5"
"10769","St Martin's School, Caerphilly","CF83 1UW","Maintained","<=5","<=5"
"10772","Cardiff High School","CF23 6WG","Maintained","12","<=5"
"10774","Cathays High School","CF14 3XG","Maintained","<=5","<=5"
"10778","St David's Catholic College","CF23 5QD","Maintained","9","<=5"
"10780","Howell's School, Cardiff","CF5 2YD","Independent","<=5","<=5"
"10784","Kings Monkton School","CF24 3XL","Independent","<=5","<=5"
"10790","Whitchurch High School","CF14 2XJ","Maintained","<=5","<=5"
"10791","Cowbridge Comprehensive School","CF71 7EN","Maintained","<=5","<=5"
"10794","Atlantic College","CF61 1WF","Independent","9","<=5"
"10805","The Grange School, Northwich","CW8 1LU","Independent","7","<=5"
"10806","St Cyres Comprehensive School","CF64 2XP","Maintained","<=5","<=5"
"10807","Stanwell School","CF64 2XL","Maintained","<=5","<=5"
"10811","The Fallibroome Academy","SK10 4AF","Maintained","7","<=5"
"10819","St Joseph's RC School and 6th Form Centre","SA12 6EY","Maintained","<=5","<=5"
"10824","St Clare's School","CF36 5NR","Independent","<=5","<=5"
"10830","Bishop Gore School","SA2 9AP","Maintained","<=5","<=5"
"10831","Bishop Vaughan R.C. School","SA6 7QG","Maintained","9","0"
"10837","Gowerton School","SA4 3DL","Maintained","<=5","<=5"
"10842","Olchfa School","SA2 7AB","Maintained","6","<=5"
"10848","Ysgol Maes-Y-Dderwen","SA9 1AP","Maintained","<=5","<=5"
"10849","Tonyrefail Community School","CF39 8HG","Maintained","<=5","<=5"
"10854","Backwell School","BS48 3BX","Maintained","<=5","<=5"
"10855","Badminton School","BS9 3BA","Independent","8","<=5"
"10860","Bristol Cathedral Choir School","BS1 5TS","Maintained","18","7"
"10861","Clifton College","BS8 3EZ","Independent","13","<=5"
"10862","Clifton High School","BS8 3JD","Independent","<=5","<=5"
"10864","E-Act Montpelier High School","BS6 5RD","Maintained","<=5","<=5"
"10865","Collegiate School","BS16 1BJ","Independent","<=5","<=5"
"10866","North Bristol Post 16 Centre","BS6 6BU","Maintained","<=5","<=5"
"10870","Gordano School","BS20 7QR","Maintained","<=5","<=5"
"10871","Bristol Grammar School","BS8 1SR","Independent","17","6"
"10887","Queen Elizabeth's Hospital","BS8 1JX","Independent","7","<=5"
"10896","St Brendan's Sixth Form College","BS4 5RQ","Maintained","6","0"
"10898","St Mary Redcliffe and Temple School","BS1 6RT","Maintained","8","<=5"
"10904","Ysgol Gyfun Gymraeg Glantaf","CF14 2JL","Maintained","<=5","<=5"
"10907","Cheltenham College","GL53 7LD","Independent","<=5","<=5"
"10908","Pate's Grammar School","GL51 0HG","Maintained","51","16"
"10909","Cheltenham Ladies' College","GL50 3EP","Independent","42","15"
"10910","Cheltenham Bournside School","GL51 3EF","Maintained","<=5","<=5"
"10911","Dean Close School","GL51 6HE","Independent","<=5","<=5"
"10912","St Edward's School, Gloucester","GL53 8EY","Independent","<=5","<=5"
"10919","Chipping Campden School","GL55 6HU","Maintained","8","<=5"
"10924","Cirencester College","GL7 1XA","Maintained","10","<=5"
"10925","Finborough School","IP14 3EF","Independent","<=5","<=5"
"10931","Taylor High School","ML1 4JP","Maintained","<=5","<=5"
"10934","Denmark Road High School","GL1 3JN","Maintained","<=5","<=5"
"10939","Sir Thomas Rich's School","GL2 0LF","Maintained","13","<=5"
"10944","The Crypt School","GL2 5AE","Maintained","7","<=5"
"10945","Wycliffe College","GL10 2JQ","Independent","<=5","<=5"
"10946","Stroud High School","GL5 4HF","Maintained","<=5","<=5"
"10948","Marling School","GL5 4HE","Maintained","14","<=5"
"10952","Westonbirt School","GL8 8QG","Independent","<=5","<=5"
"10958","Elizabeth College","GY1 2PY","Independent","<=5","<=5"
"10959","The Sixth Form Centre, Guernsey","GY5 7FL","Maintained","<=5","<=5"
"10960","The Ladies' College","GY1 1RW","Independent","<=5","<=5"
"10963","Leicester Grammar School Trust","LE8 9FL","Independent","19","<=5"
"10967","Andover College","SP10 1EJ","Maintained","<=5","<=5"
"10969","Cadbury Sixth Form College","B38 8QT","Maintained","<=5","<=5"
"10972","St John Baptist C.I.W. High School","CF44 8BW","Maintained","<=5","<=5"
"10974","Lord Wandsworth College","RG29 1TB","Independent","<=5","<=5"
"10977","Bournemouth School","BH8 9PY","Maintained","12","<=5"
"10978","Bournemouth School for Girls","BH8 9UJ","Maintained","9","<=5"
"10986","St. Peter's Catholic School, Bournemouth","BH6 4AH","Maintained","<=5","<=5"
"10987","Talbot Heath School","BH4 9NJ","Independent","<=5","<=5"
"10990","Rochester Independent College","ME1 1HY","Independent","<=5","<=5"
"10992","William de Ferrers School","CM3 5JU","Maintained","<=5","<=5"
"10993","Barton Peveril Sixth Form College","SO50 5ZA","Maintained","47","7"
"10998","The Sixth Form College Farnborough","GU14 8JX","Maintained","43","13"
"10999","Farnborough Hill","GU14 8AT","Independent","<=5","<=5"
"11001","Salesian College, Farnborough","GU14 6PA","Independent","<=5","<=5"
"11012","Bedales School","GU32 2DG","Independent","<=5","<=5"
"11013","Churcher's College","GU31 4AS","Independent","10","<=5"
"11023","The Portsmouth Grammar School","PO1 2LN","Independent","16","<=5"
"11024","Portsmouth High School GDST","PO5 3EQ","Independent","<=5","<=5"
"11027","City of Portsmouth College - Tangier Road Campus","PO3 6PZ","Maintained","<=5","<=5"
"11030","Kensington Park School","W2 4AT","Independent","<=5","<=5"
"11032","Embley","SO51 6ZE","Independent","<=5","<=5"
"11039","King Edward VI School, Southampton","SO15 5UQ","Independent","8","<=5"
"11045","St Anne's Catholic School","SO15 2WZ","Maintained","<=5","<=5"
"11051","Oaklands Catholic School","PO7 7BW","Maintained","<=5","<=5"
"11055","Peter Symonds College","SO22 6RX","Maintained","87","26"
"11056","St Swithuns","SO21 1HA","Independent","16","<=5"
"11057","Winchester College","SO23 9NA","Independent","45","17"
"11066","Hereford Cathedral School","HR1 2NG","Independent","<=5","<=5"
"11071","John Masefield High School","HR8 2HF","Maintained","<=5","<=5"
"11075","John Kyrle High School and Sixth Form Centre","HR9 7ET","Maintained","<=5","<=5"
"11076","The Knights Templar School","SG7 6DZ","Maintained","6","<=5"
"11078","Queen Elizabeth's School, Barnet","EN5 4DQ","Maintained","75","34"
"11079","Queen Elizabeth's Girls' School","EN5 5RR","Maintained","<=5","<=5"
"11082","Ashlyns School","HP4 3AH","Maintained","<=5","<=5"
"11083","Berkhamsted School","HP4 2DJ","Independent","12","0"
"11085","Bishop's Stortford College","CM23 2PQ","Independent","10","<=5"
"11087","The Hertfordshire & Essex High School and Science College","CM23 5NJ","Maintained","16","<=5"
"11088","St Marys Catholic School, Bishops Stor","CM23 2NQ","Maintained","<=5","<=5"
"11096","The Broxbourne School","EN10 7FU","Maintained","12","<=5"
"11097","Queens' School","WD23 2TY","Maintained","6","0"
"11098","Bushey Meads School","WD23 4PA","Maintained","<=5","<=5"
"11101","St Margaret's School, Bushey","WD23 1DT","Independent","<=5","<=5"
"11104","Goffs Academy","EN7 5QW","Maintained","9","0"
"11108","Southgate School","EN4 0BL","Maintained","<=5","<=5"
"11109","East Barnet School","EN4 8PU","Maintained","10","<=5"
"11110","Aldenham School","WD6 3AJ","Independent","<=5","<=5"
"11111","Haberdashers' Boys' School","WD6 3AF","Independent","49","12"
"11112","The Astley Cooper School","HP2 7HL","Maintained","<=5","<=5"
"11114","Roundwood Park School","AL5 3AE","Maintained","12","<=5"
"11115","St George's School, Harpenden","AL5 4TD","Maintained","16","<=5"
"11116","Chancellor's School","AL9 7BN","Maintained","<=5","<=5"
"11117","Bishop's Hatfield Girls' School","AL10 8NL","Maintained","7","<=5"
"11120","Queenswood School, Hatfield","AL9 6NS","Independent","<=5","<=5"
"11124","Longdean School","HP3 8JB","Maintained","<=5","<=5"
"11126","The Hemel Hempstead School","HP1 1TX","Maintained","<=5","<=5"
"11128","Haileybury College","SG13 7NU","Independent","12","<=5"
"11129","Richard Hale School","SG13 8EN","Maintained","10","<=5"
"11133","Hitchin Boys' School","SG5 1JB","Maintained","9","<=5"
"11134","Hitchin Girls' School","SG4 9RS","Maintained","10","<=5"
"11138","The Highfield School","SG6 3QA","Maintained","<=5","<=5"
"11141","St Christopher School","SG6 3JZ","Independent","<=5","<=5"
"11142","St Francis College","SG6 3PJ","Independent","<=5","<=5"
"11145","Rickmansworth School","WD3 3AQ","Maintained","<=5","<=5"
"11146","Royal Masonic School for Girls","WD3 4HF","Independent","<=5","<=5"
"11152","Beaumont School","AL4 0XB","Maintained","17","<=5"
"11153","The Ferrers School","NN10 8LF","Maintained","<=5","<=5"
"11156","Loreto College, St Albans","AL1 3RQ","Maintained","<=5","<=5"
