"ucas","name","application","offer"
"10001","Ysgol Syr Thomas Jones                                                   Min. Number of Records","<3","<3"
"10002","Ysgol David Hughes","<3","<3"
"10006","Ysgol Gyfun Llangefni                                                    Redacted Acceptances","<3","<3"
"10008","Redborne Upper School and Community","6","<3"
"10011","Bedford Modern School","19","4"
"10012","Bedford School","16","3"
"10022","Queensbury Academy","<3","<3"
"10024","Cedars Upper School, Bedfordshire","7","<3"
"10026","St Marylebone Church of England","<3","<3"
"10027","Luton VI Form College","12","<3"
"10029","Abingdon School","31","4"
"10030","John Mason School, Abingdon","13","<3"
"10031","Our Lady's Abingdon Trustees Ltd","<3","<3"
"10032","Radley College","45","10"
"10033","St Helen & St Katharine","17","<3"
"10034","Heathfield School, Berkshire","<3","<3"
"10036","The Marist School","3","<3"
"10038","St Georges School, Ascot","3","<3"
"10039","St Marys School, Ascot","20","7"
"10040","Garth Hill College","4","<3"
"10041","Ranelagh School","5","<3"
"10042","Bracknell and Wokingham College","3","<3"
"10043","Ysgol Gyfun Bro Myrddin","3","<3"
"10044","Edgbarrow School","5","<3"
"10045","Wellington College, Crowthorne","39","11"
"10046","Didcot Sixth Form","9","<3"
"10048","Faringdon Community College","3","<3"
"10051","Newlands Girls' School","<3","<3"
"10053","Oxford Sixth Form College","5","<3"
"10054","Downe House School","13","3"
"10055","Kennet School","<3","<3"
"10056","Mary Hare School","<3","<3"
"10059","St Bartholomews School","12","<3"
"10062","Abbey School, Reading","15","4"
"10066","Bradfield College","10","3"
"10067","The Bulmershe School","<3","<3"
"10069","Highdown School and Sixth Form Centre","7","<3"
"10070","Kendrick School","30","7"
"10071","Leighton Park School","7","<3"
"10072","Maiden Erlegh School","7","<3"
"10073","Oratory School, Woodcote","<3","<3"
"10074","Padworth College","<3","<3"
"10075","Pangbourne College, Reading","<3","<3"
"10077","Queen Anne's School","<3","<3"
"10078","Reading Blue Coat School","6","<3"
"10079","Reading College","<3","<3"
"10080","Reading School","36","10"
"10084","Theale Green School","<3","<3"
"10085","King's Academy Prospect","3","<3"
"10087","Wallingford School","5","<3"
"10088","King Alfred's Academy","6","4"
"10091","Windsor College","<3","<3"
"10092","Eton College","108","35"
"10093","The Windsor Boys School","3","<3"
"10094","Windsor Girls School","5","<3"
"10095","Reddam House Berkshire","3","<3"
"10096","Forest School, Winnersh","<3","<3"
"10097","Holt School, Wokingham","6","<3"
"10098","Luckley House School","<3","<3"
"10102","Christ College","6","<3"
"10107","Dr Challoner's Grammar School","44","5"
"10108","Dr Challoner's High School for Girls","<3","<3"
"10107","Dr Challoner's Grammar School","<3","<3"
"10108","Dr Challoner's High School for Girls","25","6"
"10110","Aylesbury High School","16","3"
"10111","Sir Henry Floyd Grammar School, Aylesbury","<3","<3"
"10112","Aylesbury Grammar School","18","3"
"10115","Beaconsfield High School","15","3"
"10122","Royal Latin School","10","3"
"10123","Stowe School","5","<3"
"10124","Burnham Grammar School","16","<3"
"10125","Westhill Academy","<3","<3"
"10127","Chesham Grammar School","9","<3"
"10128","St Marys School, Gerrards Cross","<3","<3"
"10131","Pipers Corner School","<3","<3"
"10132","Royal Grammar School, Buckinghamshire","<3","<3"
"10134","Wycombe Abbey School, High","<3","<3"
"10135","Wycombe High School, High Wycombe","25","6"
"10136","John Hampden Grammar School","14","<3"
"10137","Sir William Borlase's Grammar School","31","5"
"10139","Langley Grammar School","16","5"
"10142","Upton Court Grammar School","12","<3"
"10144","Herschel Grammar School","6","<3"
"10145","St Bernard's Catholic Grammar School","18","<3"
"10153","Ysgol Dyffryn Ogwen","<3","<3"
"10156","Ysgol Syr Hugh Owen","<3","<3"
"10158","John Bright School, Llandudno","4","<3"
"10161","Ysgol Brynrefail, Caernarfon","<3","<3"
"10168","The Netherhall School and Oakes Sixth Form C..","<3","<3"
"10169","St Katherines School, Bristol","<3","<3"
"10171","Long Road Sixth Form College","4","<3"
"10172","Hills Road Sixth Form College","172","51"
"10174","The Leys School","16","3"
"10175","The Perse School","60","16"
"10176","St Mary's School, Cambridge","4","<3"
"10178","The King's School, Ely","7","<3"
"10180","Impington Village College","7","3"
"10182","Neale-Wade Academy","<3","<3"
"10185","Wisbech Grammar School","<3","<3"
"10187","Ysgol Gyfun Aberaeron","<3","<3"
"10189","Penglais School","3","<3"
"10190","Ysgol Bro Pedr","3","<3"
"10199","Queen Elizabeth High School, Carmarthen","<3","<3"
"10204","Llandovery College","<3","<3"
"10209","St Michaels School, Llanelli","3","<3"
"10210","Ysgol Dyffryn Taf","5","<3"
"10211","Alderley Edge School for Girls","<3","<3"
"10213","Altrincham Grammar School for Boys","30","6"
"10214","Altrincham Grammar School for Girls","31","4"
"10216","Loreto Grammar School, Altrincham","7","<3"
"10219","St Ambrose College","5","<3"
"10221","Wirral Grammar School for Boys","5","<3"
"10222","Wirral Grammar School for Girls","11","<3"
"10225","Birkenhead School, Birkenhead, Merseyside","<3","<3"
"10232","St Marys Music School, Edinburgh","4","<3"
"10234","St Anselms College, Birkenhead","5","<3"
"10238","The Cheadle College","<3","<3"
"10239","Cheadle Hulme School","14","<3"
"10240","Bede's School, Hailsham","4","<3"
"10241","Queen's Park High School","<3","<3"
"10243","The King's School, Chester","16","5"
"10244","The Queen's School, Chester","<3","<3"
"10253","Helsby High School","<3","<3"
"10256","Knutsford Academy","<3","<3"
"10258","The King's School, Macclesfield","<3","<3"
"10256","Knutsford Academy","<3","<3"
"10258","The King's School, Macclesfield","10","<3"
"10268","Sir John Deanes College","34","12"
"10269","St John Plessington Catholic College                                   Redacted Acceptances","<3","<3"
"10271","Kings School, Oxford","3","<3"
"10272","Gryffe High School","<3","<3"
"10274","Sale Grammar School","19","4"
"10275","Sandbach School","<3","<3"
"10277","Aquinas College","23","5"
"10285","Stockport Grammar School","9","3"
"10291","Abbey Gate College                                                      -51","51","<3"
"10292","Weatherhead High School","5","<3"
"10296","West Kirby Grammar School","5","<3"
"10297","Wilmslow High School","9","<3"
"10301","Calday Grange Grammar School","7","<3"
"10303","Upton Hall School","3","<3"
"10305","The Whitby High School","<3","<3"
"10306","Sidmouth College","<3","<3"
"10308","Budehaven Community School","3","<3"
"10309","Callington Community College","<3","<3"
"10310","","7","<3"
"10312","Falmouth School","<3","<3"
"10315","Helston Community College, Cornwall","3","<3"
"10316","Launceston College","<3","<3"
"10320","Newquay Tretherras School","<3","<3"
"10327","Saltash Community School","<3","<3"
"10331","Truro and Penwith College","31","8"
"10332","Truro High School for Girls","3","<3"
"10333","Truro School","8","<3"
"10336","William Howard School","<3","<3"
"10337","Austin Friars","4","<3"
"10344","Trinity School, Carlisle","<3","<3"
"10345","Ashbourne College","4","<3"
"10346","Cockermouth School, Cockermouth","5","<3"
"10348","Keswick School","<3","<3"
"10350","Sir William Ramsay School High Wycombe","<3","<3"
"10351","","9","<3"
"10352","St Bees School","<3","<3"
"10356","The Nelson Thomlinson School","3","<3"
"10362","Eirias High School","<3","<3"
"10364","Rydal Penrhos School","<3","<3"
"10370","Ysgol Dinas Bran, Llangollen","4","<3"
"10373","Ysgol Brynhyfryd","<3","<3"
"10374","Ruthin School","8","<3"
"10380","Maelor School, Wrexham","5","<3"
"10385","Queen Elizabeths Grammar School, Ashbourne","<3","<3"
"10386","Lady Manners School","5","<3"
"10391","Buxton Community School","<3","<3"
"10394","Brookfield Community School, Chesterfield","<3","<3"
"10398","Tupton Hall School","<3","<3"
"10411","Ecclesbourne School","8","<3"
"10412","John Port Spencer Academy","6","<3"
"10417","Derby High School","4","<3"
"10419","Highfields School, Matlock","3","<3"
"10424","Repton School","10","3"
"10429","Anthony Gell School","<3","<3"
"10432","West Buckland School","4","<3"
"10433","Shebbear College, Beaworthy","<3","<3"
"10434","Bideford College","<3","<3"
"10438","Churston Ferrers Grammar School","4","<3"
"10439","Colyton Grammar School","20","8"
"10440","Queen Elizabeth's","3","<3"
"10443","Exeter School","<3","<3"
"10440","Queen Elizabeth's","<3","<3"
"10443","Exeter School","14","6"
"10444","Exeter College, Hele Road Centre","41","12"
"10450","Maynard School","6","<3"
"10453","Exmouth Community College                                                       -47","47","<3"
"10455","Kingsbridge Academy","6","<3"
"10458","Stover School                                                                  Redacted Acceptance Ra..","<3","<3"
"10459","Okehampton College","<3","<3"
"10460","The King's School, Ottery St Mary","5","<3"
"10463","Devonport High School for Boys","11","<3"
"10464","Devonport High School for Girls","7","<3"
"10467","Plymouth College","<3","<3"
"10468","Plymouth High School for Girls","4","<3"
"10470","Hele's School","<3","<3"
"10471","Plymstock School, Plymouth","3","<3"
"10482","Mount Kelly","4","<3"
"10483","Tavistock College","3","<3"
"10486","Blundell's School","7","<3"
"10490","Torquay Boys Grammar School","21","4"
"10495","Torquay Grammar School for Girls","7","3"
"10501","Bryanston School","10","<3"
"10502","The Blandford School","<3","<3"
"10503","Clayesmore School","<3","<3"
"10506","Sir John Colfox School","<3","<3"
"10508","Thomas Hardye School","17","6"
"10511","Gillingham School","3","<3"
"10513","The Woodroffe School","8","<3"
"10514","Parkstone Grammar School","8","<3"
"10515","Poole Grammar School","19","<3"
"10522","The Gryphon School, Sherborne","8","3"
"10523","Sherborne School","13","<3"
"10524","Sherborne School for Girls","11","<3"
"10525","Leweston School Trust","<3","<3"
"10527","The Purbeck School","3","<3"
"10532","Canford School","21","7"
"10534","Barnard Castle School","3","<3"
"10540","Park View School","3","<3"
"10545","","5","<3"
"10547","","15","<3"
"10549","Southbank International School","4","<3"
"10550","Durham High School","7","<3"
"10551","","20","<3"
"10552","Durham School","6","<3"
"10555","Durham Sixth Form Centre","13","5"
"10559","Gateshead College","<3","<3"
"10568","The English Martyrs Catholic School and Sixth ..","<3","<3"
"10572","St. Bede's Catholic Academy, Lanchester","<3","<3"
"10573","Weston Road Academy (formerly Weston Road..","<3","<3"
"10579","Downend Comprehensive School","<3","<3"
"10586","Chase Grammar School (Formerly Chase Acad..","<3","<3"
"10587","Brimsham Green School","<3","<3"
"10590","Stockton Sixth Form College","6","<3"
"10604","St Anthony's Girls' Catholic Academy","4","<3"
