"ucas","name","application","offer"
"10002","Ysgol David Hughes                                                      Min. Number of Records","<3","<3"
"10006","Ysgol Gyfun Llangefni","<3","<3"
"10008","Redborne Upper School and Community College                             Redacted Acceptances","<3","<3"
"10011","Bedford Modern School","12","<3"
"10012","Bedford School","23","<3"
"10024","Cedars Upper School, Bedfordshire","4","<3"
"10026","St Marylebone Church of England School","17","3"
"10027","Luton VI Form College","17","4"
"10029","Abingdon School","34","12"
"10030","John Mason School, Abingdon","5","<3"
"10031","Our Lady's Abingdon Trustees Ltd","<3","<3"
"10032","Radley College","46","7"
"10033","St Helen & St Katharine","10","<3"
"10034","Heathfield School, Berkshire","<3","<3"
"10036","The Marist School","<3","<3"
"10038","St Georges School, Ascot","6","<3"
"10039","St Marys School, Ascot","23","7"
"10040","Garth Hill College","<3","<3"
"10041","Ranelagh School","13","<3"
"10042","Bracknell and Wokingham College","<3","<3"
"10043","Ysgol Gyfun Bro Myrddin","6","<3"
"10044","Edgbarrow School","6","<3"
"10045","Wellington College, Crowthorne","38","8"
"10046","Didcot Sixth Form","10","3"
"10048","Faringdon Community College","4","<3"
"10050","Desborough College","<3","<3"
"10051","Newlands Girls' School","6","<3"
"10053","Oxford Sixth Form College","7","<3"
"10054","Downe House School","20","4"
"10055","Kennet School","9","3"
"10059","St Bartholomews School","20","4"
"10062","Abbey School, Reading","9","<3"
"10066","Bradfield College","12","<3"
"10067","The Bulmershe School","6","<3"
"10069","Highdown School and Sixth Form Centre","3","<3"
"10070","Kendrick School","27","7"
"10071","Leighton Park School","10","<3"
"10072","Maiden Erlegh School","9","<3"
"10073","Oratory School, Woodcote","<3","<3"
"10074","Padworth College","<3","<3"
"10075","Pangbourne College, Reading","4","<3"
"10077","Queen Anne's School","7","<3"
"10078","Reading Blue Coat School","10","<3"
"10079","Reading College","<3","<3"
"10080","Reading School","37","9"
"10087","Wallingford School","7","<3"
"10088","King Alfred's Academy","7","<3"
"10091","Windsor College","<3","<3"
"10092","Eton College","126","31"
"10093","The Windsor Boys School","<3","<3"
"10094","Windsor Girls School","<3","<3"
"10095","Reddam House Berkshire","3","<3"
"10096","Forest School, Winnersh","<3","<3"
"10097","Holt School, Wokingham","4","<3"
"10098","Luckley House School","<3","<3"
"10102","Christ College","8","<3"
"10107","Dr Challoner's Grammar School","36","5"
"10108","Dr Challoner's High School for Girls","22","<3"
"10110","Aylesbury High School","16","6"
"10111","Sir Henry Floyd Grammar School, Aylesbury","<3","<3"
"10112","Aylesbury Grammar School","17","6"
"10115","Beaconsfield High School","<3","<3"
"10112","Aylesbury Grammar School","<3","<3"
"10115","Beaconsfield High School","13","3"
"10122","Royal Latin School","16","3"
"10123","Stowe School","8","3"
"10124","Burnham Grammar School","17","3"
"10127","Chesham Grammar School","20","<3"
"10128","St Marys School, Gerrards Cross                                        Redacted Acceptance Ra..","<3","<3"
"10131","Pipers Corner School","<3","<3"
"10132","Royal Grammar School, Buckinghamshire","<3","<3"
"10134","Wycombe Abbey School, High Wycombe","36","6"
"10135","Wycombe High School, High Wycombe","19","3"
"10136","John Hampden Grammar School","7","<3"
"10137","Sir William Borlase's Grammar School","30","7"
"10139","Langley Grammar School","12","<3"
"10140","LVS Ascot","4","<3"
"10142","Upton Court Grammar School","8","<3"
"10144","Herschel Grammar School","14","<3"
"10145","St Bernard's Catholic Grammar School","5","<3"
"10153","Ysgol Dyffryn Ogwen","3","<3"
"10155","St Gerards School, Bangor","<3","<3"
"10158","John Bright School, Llandudno","5","<3"
"10161","Ysgol Brynrefail, Caernarfon","<3","<3"
"10169","St Katherines School, Bristol","10","<3"
"10171","Long Road Sixth Form College","10","<3"
"10172","Hills Road Sixth Form College","146","38"
"10174","The Leys School","10","<3"
"10175","The Perse School","62","22"
"10176","St Mary's School, Cambridge","<3","<3"
"10178","The King's School, Ely","8","<3"
"10180","Impington Village College","5","<3"
"10185","Wisbech Grammar School","<3","<3"
"10189","Penglais School","3","<3"
"10190","Ysgol Bro Pedr","<3","<3"
"10209","St Michaels School, Llanelli","<3","<3"
"10210","Ysgol Dyffryn Taf","<3","<3"
"10211","Alderley Edge School for Girls","<3","<3"
"10213","Altrincham Grammar School for Boys","16","4"
"10214","Altrincham Grammar School for Girls","21","3"
"10216","Loreto Grammar School, Altrincham","13","3"
"10219","St Ambrose College","13","<3"
"10221","Wirral Grammar School for Boys","6","<3"
"10222","Wirral Grammar School for Girls","15","3"
"10225","Birkenhead School, Birkenhead, Merseyside","<3","<3"
"10232","St Marys Music School, Edinburgh","<3","<3"
"10234","St Anselms College, Birkenhead","8","<3"
"10239","Cheadle Hulme School","12","<3"
"10240","Bede's School, Hailsham","5","<3"
"10241","Queen's Park High School","<3","<3"
"10243","The King's School, Chester","24","6"
"10244","The Queen's School, Chester","5","<3"
"10253","Helsby High School","<3","<3"
"10256","Knutsford Academy","4","<3"
"10257","Lymm High School","6","<3"
"10258","The King's School, Macclesfield","7","<3"
"10268","Sir John Deanes College","23","5"
"10269","St John Plessington Catholic College","<3","<3"
"10271","Kings School, Oxford","7","<3"
"10272","Gryffe High School","<3","<3"
"10274","Sale Grammar School","9","<3"
"10275","Sandbach School","<3","<3"
"10277","Aquinas College","9","<3"
"10285","Stockport Grammar School","8","<3"
"10292","Weatherhead High School","<3","<3"
"10285","Stockport Grammar School","<3","<3"
"10292","Weatherhead High School                                                Min. Number of Records","<3","<3"
"10296","West Kirby Grammar School","7","<3"
"10297","Wilmslow High School","6","<3"
"10301","Calday Grange Grammar School","6","<3"
"10303","Upton Hall School","<3","<3"
"10305","The Whitby High School                                                 Redacted Acceptance Ra..","<3","<3"
"10306","Sidmouth College","<3","<3"
"10307","Bodmin College","<3","<3"
"10308","Budehaven Community School","<3","<3"
"10309","Callington Community College","<3","<3"
"10310","Camborne Science and International Academy","<3","<3"
"10312","Falmouth School","3","<3"
"10315","Helston Community College, Cornwall","<3","<3"
"10316","Launceston College","<3","<3"
"10319","Liskeard School & Community College","<3","<3"
"10320","Newquay Tretherras School","3","<3"
"10327","Saltash Community School","<3","<3"
"10331","Truro and Penwith College","47","13"
"10332","Truro High School for Girls","<3","<3"
"10333","Truro School","6","<3"
"10336","William Howard School","4","<3"
"10337","Austin Friars","<3","<3"
"10344","Trinity School, Carlisle","3","<3"
"10345","Ashbourne College","5","<3"
"10346","Cockermouth School, Cockermouth","5","<3"
"10348","Keswick School","4","<3"
"10349","Millom School","<3","<3"
"10351","","9","<3"
"10356","The Nelson Thomlinson School","3","<3"
"10362","Eirias High School","5","<3"
"10364","Rydal Penrhos School","4","<3"
"10367","Denbigh High School","<3","<3"
"10370","Ysgol Dinas Bran, Llangollen","3","<3"
"10371","Ysgol Dyffryn Conwy","<3","<3"
"10373","Ysgol Brynhyfryd","4","<3"
"10374","Ruthin School","12","<3"
"10380","Maelor School, Wrexham","6","<3"
"10385","","6","<3"
"10386","Lady Manners School","7","<3"
"10387","Belper School, Belper","<3","<3"
"10391","Buxton Community School","4","<3"
"10394","","3","<3"
"10398","Tupton Hall School","<3","<3"
"10410","Swanwick Hall","<3","<3"
"10411","Ecclesbourne School","9","5"
"10412","John Port Spencer Academy","<3","<3"
"10417","Derby High School","3","<3"
"10419","Highfields School, Matlock","<3","<3"
"10423","Ockbrook School","<3","<3"
"10424","Repton School","10","<3"
"10428","Netherthorpe School","5","<3"
"10432","West Buckland School","7","<3"
"10434","Bideford College","<3","<3"
"10438","Churston Ferrers Grammar School","9","3"
"10439","Colyton Grammar School","29","4"
"10440","Queen Elizabeth's","6","<3"
"10443","Exeter School","8","<3"
"10444","Exeter College, Hele Road Centre","52","13"
"10450","Maynard School","4","<3"
"10453","Exmouth Community College","<3","<3"
"10455","Kingsbridge Academy","7","<3"
"10458","Stover School","<3","<3"
"10455","Kingsbridge Academy","<3","<3"
"10458","Stover School                                                                 Min. Number of Records","<3","<3"
"10459","Okehampton College","4","<3"
"10460","The King's School, Ottery St Mary                                             Redacted Acceptances","<3","<3"
"10463","Devonport High School for Boys","11","<3"
"10464","Devonport High School for Girls","14","3"
"10465","Notre Dame R C School","3","<3"
"10467","Plymouth College","<3","<3"
"10468","Plymouth High School for Girls","7","<3"
"10470","Hele's School","<3","<3"
"10482","Mount Kelly","<3","<3"
"10483","Tavistock College","<3","<3"
"10486","Blundell's School","3","3"
"10490","Torquay Boys Grammar School","17","4"
"10495","Torquay Grammar School for Girls","9","<3"
"10499","","3","<3"
"10500","Beaminster School, Beaminster","<3","<3"
"10501","Bryanston School","8","<3"
"10502","The Blandford School","<3","<3"
"10503","Clayesmore School","<3","<3"
"10506","Sir John Colfox School","<3","<3"
"10508","Thomas Hardye School","13","5"
"10511","Gillingham School","4","<3"
"10513","The Woodroffe School","4","<3"
"10514","Parkstone Grammar School","12","<3"
"10515","Poole Grammar School","18","5"
"10522","The Gryphon School, Sherborne","4","<3"
"10523","Sherborne School","8","<3"
"10524","Sherborne School for Girls","9","<3"
"10527","The Purbeck School","<3","<3"
"10532","Canford School","20","4"
"10533","Queen Elizabeths School, Wimborne","4","<3"
"10534","Barnard Castle School","4","<3"
"10540","Park View School","<3","<3"
"10544","Dyce Academy, Aberdeen","<3","<3"
"10545","","3","<3"
"10547","","16","<3"
"10549","Southbank International School","4","<3"
"10550","Durham High School","<3","<3"
"10551","","16","<3"
"10552","Durham School","6","<3"
"10555","Durham Sixth Form Centre","11","4"
"10559","Gateshead College","<3","<3"
"10563","Hartlepool VI Form College","3","<3"
"10568","The English Martyrs Catholic School and Sixth ..","<3","<3"
"10569","St. Joseph's Catholic Academy","<3","<3"
"10572","St. Bede's Catholic Academy, Lanchester","<3","<3"
"10579","Downend Comprehensive School","4","<3"
"10586","Chase Grammar School (Formerly Chase Acad..","<3","<3"
"10587","Brimsham Green School","3","<3"
"10590","Stockton Sixth Form College","6","<3"
"10603","St. Aidan's Catholic Academy (formerly St","3","<3"
"10604","St Anthony's Girls' Catholic Academy","<3","<3"
"10607","Egglescliffe School","<3","<3"
"10608","Teesside High School","<3","<3"
"10614","The Cotswold School Academy Trust","9","<3"
"10616","Eastbury Comprehensive School, Barking","<3","<3"
"10623","Mayflower High School","<3","<3"
"10630","Brentwood School","15","<3"
"10632","Brentwood Ursuline Convent High School","<3","<3"
"10634","St John Payne Catholic School","<3","<3"
"10636","","6","<3"
"10639","Chelmer Valley High School","<3","<3"
"10636","Chelmsford County High School, Chelmsford","<3","<3"
"10639","Chelmer Valley High School                                                   Min. Number of Records","<3","<3"
"10640","New Hall School","9","<3"
"10641","Great Baddow High School","3","<3"
"10642","","38","<3"
"10645","Chigwell School","12","3"
"10646","West Hatch High School                                                       Redacted Acceptance Ra..","<3","<3"
"10647","Clacton County High School","<3","<3"
"10649","City and Islington Sixth Form College","5","<3"
"10652","Colchester County High School For Girls","8","<3"
"10653","Colchester Royal Grammar School","35","6"
"10656","The Sixth Form College Colchester","12","3"
"10663","ACS Cobham International School","<3","<3"
"10664","St Brigid's School","<3","<3"
"10665","All Saints Catholic School & Technology College","<3","<3"
"10669","The Sydney Russell School","6","<3"
"10671","Robert Clack School, Dagenham","8","<3"
"10674","Felsted School","10","<3"
"10677","Unified Seevic Palmer's College, Palmer's Cam..","<3","<3"
"10679","The Sandon School","<3","<3"
"10688","St Mark's West Essex Catholic School, Harlow","<3","<3"
"10691","Campion School, Hornchurch","<3","<3"
"10694","Beal High School","3","<3"
"10695","Seven Kings School","3","<3"
"10697","Ilford County High School","4","<3"
"10698","Valentines High School, Ilford","7","<3"
"10699","Ursuline Academy Ilford (formerly Ilford Ursulin..","<3","<3"
"10700","Anglo-European School","6","<3"
"10704","Davenant Foundation School","6","<3"
"10709","Plume Academy","<3","<3"
"10719","The Frances Bardsley Academy for Girls (Form..","<3","<3"
"10723","St Edward's CE Academy","<3","<3"
"10726","Saffron Walden County High School","19","7"
"10727","Southend High School for Boys","<3","<3"
"10728","Southend High School for Girls","9","<3"
"10734","","3","<3"
"10735","Westcliff High School for Boys","18","4"
"10736","","8","<3"
"10739","Bancrofts School","18","3"
"10741","Woodford County High School,","<3","<3"
"10748","Alun School","5","<3"
"10749","Ysgol Maes Garmon","<3","<3"
"10750","Prestatyn High School, Prestatyn","<3","<3"
"10752","St James Senior Girls School","3","<3"
"10754","St James Senior Boys School","<3","<3"
"10759","Whitmore High School","3","<3"
"10762","Archbishop McGrath Catholic High School","<3","<3"
"10766","Cynffig Comprehensive School","<3","<3"
"10769","St Martin's School, Caerphilly","4","<3"
"10772","Cardiff High School, Cardiff","13","<3"
"10774","Cathays High School","<3","<3"
"10777","Fitzalan High School","<3","<3"
"10778","St David's Catholic College, Penylan","12","<3"
"10780","Howell's School, Llandaff, GDST","7","<3"
"10783","Holmes Chapel Comprehensive School, Crewe","<3","<3"
"10784","Kings Monkton School","<3","<3"
"10785","Eckington School, Sheffield","<3","<3"
"10790","Whitchurch High School","6","<3"
"10791","Cowbridge Comprehensive School","13","<3"
"10793","Lewis Girls' Comprehensive School","<3","<3"
"10794","United World College of the Atlantic","26","3"
"10805","The Grange School, Northwich","9","<3"
"10806","St Cyres Comprehensive School","<3","<3"
